price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city
313000,3,1,1340,7912,1,0,0,3,1340,0,1955,2005,1522,36
2384000,5,2,3650,9050,2,0,4,5,3370,280,1921,0,3899,35
342000,3,2,1930,11947,1,0,0,4,1930,0,1966,0,2291,18
420000,3,2,2000,8030,1,0,0,4,1000,1000,1963,0,4263,3
550000,4,2,1940,10500,1,0,0,4,1140,800,1976,1992,4352,31
490000,2,1,880,6380,1,0,0,3,880,0,1938,1994,3521,35
335000,2,2,1350,2560,1,0,0,3,1350,0,1976,0,2286,31
482000,4,2,2710,35868,2,0,0,3,2710,0,1989,0,2038,21
452500,3,2,2430,88426,1,0,0,4,1570,860,1985,0,3369,27
640000,4,2,1520,6200,1,0,0,3,1520,0,1945,2010,3846,35
463000,3,1,1710,7320,1,0,0,3,1710,0,1948,1994,4510,20
1400000,4,2,2920,4000,1,0,0,5,1910,1010,1909,1988,3025,35
588500,3,1,2330,14892,1,0,0,3,1970,360,1980,0,1473,33
365000,3,1,1090,6435,1,0,0,4,1090,0,1955,2009,2176,35
1200000,5,2,2910,9480,1,0,0,3,2910,0,1939,1969,2905,35
242500,3,1,1200,9720,1,0,0,4,1200,0,1965,0,808,18
419000,3,1,1570,6700,1,0,0,4,1570,0,1956,0,1060,3
367500,4,3,3110,7231,2,0,0,3,3110,0,1997,0,276,1
257950,3,1,1370,5858,1,0,0,3,1370,0,1987,2000,1147,10
275000,3,1,1180,10277,1,0,0,3,1180,0,1983,2009,528,27
750000,3,1,2240,10578,2,0,0,5,1550,690,1923,0,2722,35
435000,4,1,1450,8800,1,0,0,4,1450,0,1954,1979,3053,3
626000,3,2,1750,1572,2,0,0,3,1470,280,2005,0,2654,35
612500,4,2,2730,12261,2,0,0,3,2730,0,1991,0,71,5
495000,4,1,1600,6380,1,0,0,3,1130,470,1959,1989,1687,35
285000,3,2,2090,10834,1,0,0,4,1360,730,1987,0,2419,14
615000,3,1,2360,7291,1,0,0,4,1360,1000,1948,0,4233,35
698000,4,2,2200,11250,1,0,0,5,1300,900,1920,0,106,19
675000,5,2,2820,67518,2,0,0,3,2820,0,1979,2014,2021,16
790000,3,2,2600,4750,1,0,0,4,1700,900,1951,1999,2793,35
382500,4,1,1560,8700,1,0,0,4,1560,0,1967,0,820,19
499950,4,2,2860,3345,2,0,0,3,2190,670,2004,2003,1673,42
650000,4,2,1820,5000,1,0,1,3,1640,180,1945,2010,3921,35
625000,4,2,2820,8408,2,0,0,3,2820,0,2014,0,1295,36
400000,4,2,3630,42884,1,0,0,3,2300,1330,1979,2014,3507,1
604000,3,2,3240,33151,2,0,2,3,3240,0,1995,0,2619,14
440000,2,1,800,4850,1,0,0,4,800,0,1944,0,3402,35
287200,3,3,1850,19966,1,0,0,4,1090,760,1992,0,1954,21
403000,3,2,1960,13100,1,0,2,5,1650,310,1957,0,1399,26
750000,3,2,2390,6550,1,0,2,4,1440,950,1955,2009,2936,35
335000,3,2,1580,16215,1,0,0,4,1580,0,1978,2000,3291,13
260000,4,2,1480,8625,1,0,0,4,1480,0,1974,0,1684,32
308500,2,1,850,6174,1,0,0,4,850,0,1950,1983,440,36
439950,3,2,1770,2875,2,0,0,3,1770,0,1990,2009,3290,35
235000,2,1,1210,9400,1,0,0,2,1210,0,1949,0,4020,35
315000,3,1,1160,9180,1,0,0,3,1160,0,1968,1997,1101,42
437500,3,2,1970,35100,2,0,0,4,1970,0,1977,0,2274,16
407500,3,2,1930,10460,2,0,0,3,1930,0,1996,0,3227,32
445700,3,2,1270,1180,3,0,0,3,1270,0,2001,0,2307,35
838000,4,2,3310,42998,2,0,0,3,3310,0,2001,0,1091,31
630000,4,2,2710,37277,2,0,0,3,2710,0,2000,0,2314,16
550000,3,1,2910,35200,1,0,0,3,2910,0,1979,2014,3056,33
805000,3,2,2710,4500,1,0,0,4,1880,830,1929,0,3731,35
284000,3,1,1800,23103,1,0,0,3,1800,0,1968,1997,2733,7
470000,5,2,2210,9655,1,0,0,3,1460,750,1976,0,1604,5
430000,4,1,1920,10000,1,0,0,4,1070,850,1954,1979,3114,3
491500,4,1,2190,125452,1,0,2,3,2190,0,1968,1997,2960,1
785000,5,3,3660,11995,2,0,2,3,3660,0,2006,0,3986,38
385000,3,3,1320,1327,2,0,0,3,1040,280,2008,0,2820,35
295000,2,2,1630,1368,2,0,0,3,1280,350,2009,0,3666,35
555000,4,2,3310,6500,2,0,0,3,3310,0,2012,1912,2894,38
